"Station Name","QUEBEC INTL A"
"Province","QUEBEC"
"Latitude","46.79"
"Longitude","-71.39"
"Elevation","74.40"
"Climate Identifier","7016293"
"WMO Identifier",""
"TC Identifier","YQB"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2016-02-01 00:00","2016","02","01","00:00","0.6","","-0.7","","91","","4","","5","","12.9","","99.33","","","","","","Rain"
"2016-02-01 01:00","2016","02","01","01:00","0.6","","-0.3","","94","","4","","6","","11.3","","99.16","","","","","","Rain"
"2016-02-01 02:00","2016","02","01","02:00","0.6","","-0.3","","94","","4","","7","","8.1","","99.00","","","","","","Rain,Fog"
"2016-02-01 03:00","2016","02","01","03:00","0.6","","0.0","","96","","5","","8","","6.4","","98.82","","","","","","Rain,Fog"
"2016-02-01 04:00","2016","02","01","04:00","0.9","","0.5","","97","","6","","11","","1.6","","98.66","","","","","","Rain,Fog"
"2016-02-01 05:00","2016","02","01","05:00","0.9","","0.5","","97","","2","","7","","1.6","","98.51","","","","","","Rain,Fog"
"2016-02-01 06:00","2016","02","01","06:00","1.0","","0.6","","97","","2","","5","","8.1","","98.46","","","","","","Rain,Fog"
"2016-02-01 07:00","2016","02","01","07:00","1.3","","0.9","","97","","13","","3","","4.8","","98.45","","","","","","Fog"
"2016-02-01 08:00","2016","02","01","08:00","2.8","","2.5","","98","","23","","8","","1.2","","98.41","","","","","","Rain Showers,Fog"
"2016-02-01 09:00","2016","02","01","09:00","3.2","","2.9","","98","","23","","16","","6.4","","98.39","","","","","","Rain Showers,Fog"
"2016-02-01 10:00","2016","02","01","10:00","5.4","","3.7","","89","","23","","48","","24.1","","98.36","","","","","","Rain Showers"
"2016-02-01 11:00","2016","02","01","11:00","4.2","","3.0","","92","","26","","39","","12.9","","98.59","","","","","","Rain Showers"
"2016-02-01 12:00","2016","02","01","12:00","3.3","","-0.9","","74","","27","","38","","48.3","","98.98","","","","","","NA"
"2016-02-01 13:00","2016","02","01","13:00","2.7","","-2.4","","69","","27","","35","","48.3","","99.30","","","","","","Mostly Cloudy"
"2016-02-01 14:00","2016","02","01","14:00","1.9","","-3.4","","68","","27","","28","","48.3","","99.52","","","","","","NA"
"2016-02-01 15:00","2016","02","01","15:00","1.3","","-5.4","","61","","28","","28","","48.3","","99.75","","","","","","NA"
"2016-02-01 16:00","2016","02","01","16:00","0.8","","-6.3","","59","","28","","27","","48.3","","99.92","","","","","","Mostly Cloudy"
"2016-02-01 17:00","2016","02","01","17:00","-0.4","","-7.5","","59","","28","","28","","48.3","","100.13","","","","-7","","NA"
"2016-02-01 18:00","2016","02","01","18:00","-1.5","","-8.7","","58","","31","","27","","24.1","","100.25","","","","-8","","NA"
"2016-02-01 19:00","2016","02","01","19:00","-2.6","","-9.6","","59","","28","","15","","24.1","","100.46","","","","-8","","Mostly Cloudy"
"2016-02-01 20:00","2016","02","01","20:00","-3.5","","-9.8","","62","","32","","15","","24.1","","100.52","","","","-9","","NA"
"2016-02-01 21:00","2016","02","01","21:00","-4.4","","-10.6","","62","","30","","22","","24.1","","100.58","","","","-11","","NA"
"2016-02-01 22:00","2016","02","01","22:00","-5.4","","-11.6","","62","","29","","15","","24.1","","100.63","","","","-11","","Clear"
"2016-02-01 23:00","2016","02","01","23:00","-6.2","","-12.0","","64","","28","","18","","24.1","","100.70","","","","-13","","NA"
"2016-02-02 00:00","2016","02","02","00:00","-7.7","","-12.3","","70","","30","","10","","24.1","","100.82","","","","-13","","NA"
"2016-02-02 01:00","2016","02","02","01:00","-8.6","","-12.6","","73","","27","","14","","24.1","","100.92","","","","-15","","Clear"
"2016-02-02 02:00","2016","02","02","02:00","-9.4","","-13.4","","73","","27","","12","","24.1","","101.03","","","","-15","","NA"
"2016-02-02 03:00","2016","02","02","03:00","-10.2","","-14.3","","72","","28","","10","","24.1","","101.13","","","","-15","","NA"
"2016-02-02 04:00","2016","02","02","04:00","-10.6","","-15.4","","68","","31","","13","","24.1","","101.20","","","","-17","","Clear"
"2016-02-02 05:00","2016","02","02","05:00","-11.1","","-16.3","","66","","31","","14","","24.1","","101.32","","","","-18","","NA"
"2016-02-02 06:00","2016","02","02","06:00","-11.6","","-16.9","","65","","28","","9","","24.1","","101.46","","","","-17","","NA"
"2016-02-02 07:00","2016","02","02","07:00","-11.8","","-16.9","","66","","29","","13","","32.2","","101.60","","","","-18","","Mainly Clear"
"2016-02-02 08:00","2016","02","02","08:00","-11.8","","-16.8","","67","","26","","9","","32.2","","101.72","","","","-17","","NA"
"2016-02-02 09:00","2016","02","02","09:00","-10.8","","-16.6","","63","","26","","8","","32.2","","101.83","","","","-15","","NA"
"2016-02-02 10:00","2016","02","02","10:00","-9.6","","-16.8","","56","","29","","14","","32.2","","101.90","","","","-16","","Mostly Cloudy"
"2016-02-02 11:00","2016","02","02","11:00","-9.0","","-16.5","","55","","26","","13","","32.2","","101.92","","","","-15","","NA"
"2016-02-02 12:00","2016","02","02","12:00","-8.1","","-15.2","","57","","25","","16","","32.2","","101.92","","","","-15","","NA"
"2016-02-02 13:00","2016","02","02","13:00","-7.4","","-14.3","","58","","23","","20","","48.3","","101.95","","","","-15","","Mainly Clear"
"2016-02-02 14:00","2016","02","02","14:00","-7.4","","-14.3","","58","","23","","26","","56.3","","101.93","","","","-16","","NA"
"2016-02-02 15:00","2016","02","02","15:00","-6.8","","-13.8","","58","","21","","24","","56.3","","101.90","","","","-14","","NA"
"2016-02-02 16:00","2016","02","02","16:00","-7.0","","-13.9","","58","","23","","23","","56.3","","101.93","","","","-15","","Clear"
"2016-02-02 17:00","2016","02","02","17:00","-7.9","","-13.8","","63","","23","","17","","56.3","","102.05","","","","-15","","NA"
"2016-02-02 18:00","2016","02","02","18:00","-9.3","","-14.2","","68","","24","","10","","24.1","","102.12","","","","-14","","NA"
"2016-02-02 19:00","2016","02","02","19:00","-9.3","","-14.5","","66","","24","","10","","24.1","","102.17","","","","-14","","Clear"
"2016-02-02 20:00","2016","02","02","20:00","-9.2","","-15.0","","63","","31","","8","","24.1","","102.19","","","","-14","","NA"
"2016-02-02 21:00","2016","02","02","21:00","-9.9","","-14.9","","67","","35","","4","","24.1","","102.15","","","","-12","","NA"
"2016-02-02 22:00","2016","02","02","22:00","-10.2","","-15.0","","68","","2","","8","","24.1","","102.18","","","","-15","","Mainly Clear"
"2016-02-02 23:00","2016","02","02","23:00","-11.6","","-15.4","","74","","36","","8","","24.1","","102.13","","","","-16","","NA"
"2016-02-03 00:00","2016","02","03","00:00","-11.9","","-15.5","","75","","2","","7","","24.1","","102.16","","","","-16","","NA"
"2016-02-03 01:00","2016","02","03","01:00","-12.0","","-15.6","","75","","1","","7","","24.1","","102.07","","","","-16","","Cloudy"
"2016-02-03 02:00","2016","02","03","02:00","-11.8","","-15.6","","74","","2","","9","","24.1","","102.04","","","","-17","","NA"
"2016-02-03 03:00","2016","02","03","03:00","-10.8","","-14.7","","73","","4","","9","","24.1","","102.04","","","","-16","","NA"
"2016-02-03 04:00","2016","02","03","04:00","-9.3","","-13.8","","70","","6","","12","","24.1","","102.00","","","","-15","","Cloudy"
